episode: 34/500000, score: 500.50844291580603, avg_score: 214.20898036703917, ep_steps: 999, cumulus_steps: 19847
episode: 35/500000, score: 498.3420291051716, avg_score: 222.10156505420952, ep_steps: 999, cumulus_steps: 20846
episode: 36/500000, score: 34.98339803786072, avg_score: 217.0443172970109, ep_steps: 119, cumulus_steps: 20965
episode: 37/500000, score: 383.2550815535611, avg_score: 221.41828477744644, ep_steps: 999, cumulus_steps: 21964
episode: 38/500000, score: 386.8238213413642, avg_score: 225.65945238164946, ep_steps: 999, cumulus_steps: 22963
episode: 39/500000, score: 365.36569051782226, avg_score: 229.15210833505375, ep_steps: 999, cumulus_steps: 23962
episode: 40/500000, score: 386.5375783439591, avg_score: 232.99077833527096, ep_steps: 999, cumulus_steps: 24961
episode: 41/500000, score: 377.9154304342258, avg_score: 236.441365290008, ep_steps: 999, cumulus_steps: 25960
episode: 42/500000, score: 422.9348320492502, avg_score: 240.778422656502, ep_steps: 999, cumulus_steps: 26959
episode: 43/500000, score: 797.9059206985015, avg_score: 253.44041124836565, ep_steps: 999, cumulus_steps: 27958
episode: 44/500000, score: 474.57429785262224, avg_score: 258.3544976173491, ep_steps: 999, cumulus_steps: 28957
episode: 45/500000, score: 351.7770581649674, avg_score: 260.38542284664516, ep_steps: 999, cumulus_steps: 29956
episode: 46/500000, score: 331.9716137872937, avg_score: 261.90853329219084, ep_steps: 999, cumulus_steps: 30955
episode: 47/500000, score: 384.16631550909517, avg_score: 264.45557042170964, ep_steps: 999, cumulus_steps: 31954
episode: 48/500000, score: 598.8152323272752, avg_score: 271.279236991211, ep_steps: 999, cumulus_steps: 32953
episode: 49/500000, score: 454.17409428843337, avg_score: 274.93713413715545, ep_steps: 999, cumulus_steps: 33952
episode: 50/500000, score: 402.84804495407275, avg_score: 274.8239052917603, ep_steps: 999, cumulus_steps: 34951
episode: 51/500000, score: 373.28029949599295, avg_score: 282.31019173498373, ep_steps: 999, cumulus_steps: 35950
episode: 52/500000, score: 246.46391138540488, avg_score: 287.15924325770897, ep_steps: 999, cumulus_steps: 36949
episode: 53/500000, score: 335.7312878396947, avg_score: 293.81149554029895, ep_steps: 999, cumulus_steps: 37948
episode: 54/500000, score: 502.4692996463026, avg_score: 303.85777803642617, ep_steps: 999, cumulus_steps: 38947
